date,company_Name,ticker,broker,analyst,rating_before,rating_after,price_target_before,price_target_after,Close
2017-01-04,Nvidia Corp,NVDA,CITI,ATIF MALIK,BUY,BUY,,3.0,2.61
2017-01-06,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,,BUY                          ,,2.5,2.58
2017-01-09,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,3.12,2.68
2017-02-03,Nvidia Corp,NVDA,CLSA,CHRIS CASO,,UNDERPERFORM                 ,,2.87,2.86
2017-02-06,Nvidia Corp,NVDA,BAML,VIVEK ARYA,TOPPICK,TOPPICK,,3.12,2.93
2017-02-07,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,                             ,,1.87,2.98
2017-02-10,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,2.87,3.25,2.84
2017-02-10,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,3.62,2.84
2017-02-10,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,,HOLD                         ,,,2.84
2017-02-10,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,3.12,3.5,2.84
2017-02-22,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,,NEUTRAL                      ,,2.5,2.77
2017-04-05,Nvidia Corp,NVDA,CITI,ATIF MALIK,SELL,SELL,,3.62,2.5
2017-05-10,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,3.5,3.03
2017-05-10,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,                             ,NEUTRAL                      ,2.5,2.65,3.03
2017-05-10,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,                             ,2.87,3.12,3.03
2017-05-18,Nvidia Corp,NVDA,BERNSTEIN,STACY RASGON,,OUTPERFORM                   ,,4.12,3.33
2017-05-22,Nvidia Corp,NVDA,BAML,VIVEK ARYA,BUY,BUY,,3.87,3.47
2017-05-30,Nvidia Corp,NVDA,CITI,ATIF MALIK,BUY,BUY,,,3.62
2017-06-09,Nvidia Corp,NVDA,BAML,VIVEK ARYA,BUY,POSITIVE,3.87,4.62,3.74
2017-06-09,Nvidia Corp,NVDA,ARGUS,JIM KELLEHER,                             ,BUY                          ,3.5,4.37,3.74
2017-06-15,Nvidia Corp,NVDA,RAYMOND JAMES,CHRIS CASO,,OUTPERFORM                   ,,4.37,3.81
2017-06-28,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Positive                     ,Positive                     ,170.0,170.0,3.79
2017-06-28,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,3.62,4.25,3.79
2017-07-06,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,BUY                          ,,4.62,3.59
2017-07-10,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,4.5,3.84
2017-07-12,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,HOLD,BUY,3.1,4.42,4.06
2017-08-09,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,4.5,4.3
2017-08-11,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,                             ,                             ,2.62,3.5,3.9
2017-08-11,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,4.25,4.5,3.9
2017-08-11,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,NEUTRAL,NEUTRAL,2.65,3.0,3.9
2017-08-11,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,4.5,3.9
2017-09-14,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Neutral                      ,Neutral                      ,155.0,155.0,4.24
2017-09-15,Nvidia Corp,NVDA,EVERCORE,C J MUSE,Outperform                   ,Outperform                   ,250.0,250.0,4.5
2017-09-18,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,BUY                          ,,5.25,4.69
2017-09-29,Nvidia Corp,NVDA,CITI,ATIF MALIK,                             ,BUY                          ,4.62,5.25,4.47
2017-10-02,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,BUY                          ,,5.0,4.48
2017-10-04,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,                             ,                             ,3.5,5.0,4.52
2017-10-11,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,BUY,BUY,,5.0,4.77
2017-10-16,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,,                             ,,5.5,4.95
2017-10-23,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,5.75,4.92
2017-11-06,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,                             ,,5.25,5.24
2017-11-10,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,                             ,                             ,6.25,6.75,5.4
2017-11-10,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,                             ,HOLD                         ,4.75,5.12,5.4
2017-11-10,Nvidia Corp,NVDA,BERNSTEIN,STACY RASGON,                             ,OUTPERFORM                   ,4.5,6.25,5.4
2017-11-10,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,                             ,5.25,5.55,5.4
2017-11-10,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,                             ,NEUTRAL                      ,3.0,4.65,5.4
2017-11-10,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,5.5,5.62,5.4
2017-11-10,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,BUY                          ,,6.32,5.4
2017-11-10,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,HOLD,HOLD,2.75,4.6,5.4
2017-11-10,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,5.75,6.0,5.4
2017-11-10,Nvidia Corp,NVDA,JPMORGAN,HARLAN SUR,,                             ,,5.17,5.4
2017-11-10,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,                             ,                             ,5.0,5.62,5.4
2017-11-10,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,6.0,5.4
2017-11-10,Nvidia Corp,NVDA,BAML,VIVEK ARYA,                             ,BUY                          ,5.25,6.27,5.4
2018-01-12,Nvidia Corp,NVDA,CITI,ATIF MALIK,BUY,BUY,,6.0,5.57
2018-01-16,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,,BUY                          ,,6.0,5.5
2018-01-19,Nvidia Corp,NVDA,BAML,VIVEK ARYA,                             ,BUY                          ,6.27,6.87,5.75
2018-02-09,Nvidia Corp,NVDA,SUSQUEHANNA,CHRISTOPHER ROLLAND,                             ,NEUTRAL                      ,5.0,5.37,5.8
2018-02-09,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,BUY,BUY,6.0,6.62,5.8
2018-02-09,Nvidia Corp,NVDA,BAML,VIVEK ARYA,BUY,TOP PICK,6.87,7.5,5.8
2018-02-09,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,7.5,5.8
2018-02-09,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,Buy                          ,Buy                          ,270.0,270.0,5.8
2018-02-09,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,6.75,5.8
2018-02-09,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,                             ,HOLD                         ,4.6,5.5,5.8
2018-02-09,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,230.0,230.0,5.8
2018-02-09,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,BUY                          ,,7.62,5.8
2018-02-09,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Equal Weight                 ,Equal Weight                 ,,,5.8
2018-03-19,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,BUY,BUY,,7.25,6.03
2018-03-22,Nvidia Corp,NVDA,ARGUS,JIM KELLEHER,,BUY                          ,,7.0,6.05
2018-03-27,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,BUY,BUY,,7.25,5.64
2018-03-28,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,BUY                          ,,7.62,5.53
2018-03-28,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,7.5,5.53
2018-03-28,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,,NEUTRAL                      ,,6.12,5.53
2018-04-03,Nvidia Corp,NVDA,BAML,VIVEK ARYA,BUY,BUY,,7.5,5.63
2018-04-04,Nvidia Corp,NVDA,EVERCORE,C J MUSE,NOT FOUND,NOT FOUND,,,5.66
2018-04-09,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,OVERWEIGHT                   ,,6.45,5.39
2018-05-03,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,EQUAL WEIGHT,OVERWEIGHT,6.62,7.0,5.82
2018-05-07,Nvidia Corp,NVDA,BAML,VIVEK ARYA,BUY,POSITIVE,,7.5,6.22
2018-05-08,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,,NEUTRAL                      ,,6.12,6.26
2018-05-11,Nvidia Corp,NVDA,JPMORGAN,HARLAN SUR,,                             ,,6.37,6.36
2018-05-11,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,                             ,                             ,6.0,6.5,6.36
2018-05-11,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,BUY                          ,,7.9,6.36
2018-05-11,Nvidia Corp,NVDA,,KEVIN CASSIDY,Hold                         ,Hold                         ,243.0,243.0,6.36
2018-05-11,Nvidia Corp,NVDA,CITI,ATIF MALIK,                             ,BUY                          ,6.75,7.5,6.36
2018-05-11,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,,                             ,,7.0,6.36
2018-05-11,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,                             ,,6.82,6.36
2018-05-11,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,,                             ,,7.5,6.36
2018-05-11,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,,                             ,,7.5,6.36
2018-06-18,Nvidia Corp,NVDA,UBS,TIMOTHY ARCURI,,NEUTRAL                      ,,7.12,6.63
2018-06-26,Nvidia Corp,NVDA,FBN,SHELBY SEYRAFI,,OUTPERFORM                   ,,7.5,6.05
2018-06-27,Nvidia Corp,NVDA,RAYMOND JAMES,CHRIS CASO,,OUTPERFORM                   ,,7.5,5.89
2018-07-03,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,BUY                          ,,8.5,5.92
2018-08-10,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,8.0,6.37
2018-08-13,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,,NEUTRAL                      ,,6.37,6.4
2018-08-14,Nvidia Corp,NVDA,WELLS FARGO,AARON RAKERS,OUTPERFORM,UNDERPERFORM,3.5,7.87,6.54
2018-08-17,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,                             ,NEUTRAL                      ,6.37,6.45,6.12
2018-08-17,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,                             ,,8.5,6.12
2018-08-17,Nvidia Corp,NVDA,MACQUARIE,SRINI PAJJURI,                             ,NEUTRAL                      ,6.25,6.0,6.12
2018-08-17,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,                             ,HOLD                         ,6.07,6.25,6.12
2018-08-17,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,BUY                          ,,7.9,6.12
2018-08-17,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,8.0,6.12
2018-08-17,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,OVERWEIGHT                   ,,6.82,6.12
2018-08-17,Nvidia Corp,NVDA,OPPENHEIMER,RICK SCHAFER,,OUTPERFORM                   ,,7.75,6.12
2018-08-17,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,HOLD                         ,,6.5,6.12
2018-08-17,Nvidia Corp,NVDA,JPMORGAN,HARLAN SUR,,NEUTRAL                      ,,6.62,6.12
2018-08-21,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,,HOLD                         ,,6.25,6.33
2018-08-27,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,OVERWEIGHT                   ,,6.82,6.9
2018-09-13,Nvidia Corp,NVDA,CITI,ATIF MALIK,,BUY                          ,,7.5,6.78
2018-09-18,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,7.0,7.37,6.78
2018-09-20,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,OVERWEIGHT                   ,,6.82,6.66
2018-09-20,Nvidia Corp,NVDA,BENCHMARK,GARY MOBLEY,,BUY                          ,,7.75,6.66
2018-09-24,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,BUY                          ,,8.5,6.64
2018-09-28,Nvidia Corp,NVDA,EVERCORE,C J MUSE,                             ,OUTPERFORM                   ,7.5,10.0,7.03
2018-10-23,Nvidia Corp,NVDA,UBS,TIMOTHY ARCURI,NEUTRAL,NEUTRAL,7.12,6.5,5.53
2018-10-30,Nvidia Corp,NVDA,JPMORGAN,HARLAN SUR,OVERWEIGHT,NEUTRAL,6.37,6.62,5.08
2018-11-08,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,OVERWEIGHT                   ,6.82,6.5,5.15
2018-11-13,Nvidia Corp,NVDA,SUSQUEHANNA,CHRISTOPHER ROLLAND,NEUTRAL,POSITIVE,5.75,6.25,4.98
2018-11-16,Nvidia Corp,NVDA,UBS,TIMOTHY ARCURI,                             ,NEUTRAL                      ,6.5,4.75,4.11
2018-11-16,Nvidia Corp,NVDA,OPPENHEIMER,RICK SCHAFER,,OUTPERFORM                   ,,6.25,4.11
2018-11-16,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,,NEUTRAL                      ,,5.87,4.11
2018-11-16,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,BUY,BUY,7.37,6.12,4.11
2018-11-16,Nvidia Corp,NVDA,FBN,SHELBY SEYRAFI,                             ,OUTPERFORM                   ,7.5,5.25,4.11
2018-11-16,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,                             ,HOLD                         ,6.5,4.75,4.11
2018-11-16,Nvidia Corp,NVDA,RAYMOND JAMES,CHRIS CASO,Outperform                   ,Outperform                   ,250.0,250.0,4.11
2018-11-16,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,OVERWEIGHT                   ,5.5,6.5,4.11
2018-11-16,Nvidia Corp,NVDA,BENCHMARK,GARY MOBLEY,                             ,                             ,7.75,6.0,4.11
2018-11-16,Nvidia Corp,NVDA,JPMORGAN,HARLAN SUR,                             ,OVERWEIGHT                   ,6.37,6.12,4.11
2018-11-16,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,                             ,                             ,6.25,5.0,4.11
2018-11-16,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,8.0,6.15,4.11
2018-11-16,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,BUY,NEUTRAL,6.0,4.75,4.11
2018-11-16,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,                             ,,5.92,4.11
2018-11-16,Nvidia Corp,NVDA,WELLS FARGO,AARON RAKERS,                             ,OUTPERFORM                   ,7.87,5.87,4.11
2018-11-16,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,                             ,OVERWEIGHT                   ,7.5,6.25,4.11
2018-11-21,Nvidia Corp,NVDA,DAIWA,LOUIS MISCIOSCIA,                             ,BUY                          ,7.5,5.07,3.62
2018-11-26,Nvidia Corp,NVDA,JPMORGAN,HARLAN SUR,Outperform                   ,Outperform                   ,,,3.83
2018-11-29,Nvidia Corp,NVDA,BERNSTEIN,STACY RASGON,,                             ,,6.25,3.93
2018-12-13,Nvidia Corp,NVDA,CITI,ATIF MALIK,BUY,BUY,,6.1,3.72
2018-12-17,Nvidia Corp,NVDA,UBS,TIMOTHY ARCURI,,NEUTRAL                      ,,4.75,3.59
2019-01-07,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,OVERWEIGHT,OVERWEIGHT,,,3.59
2019-01-09,Nvidia Corp,NVDA,BENCHMARK,GARY MOBLEY,,BUY                          ,,6.0,3.56
2019-01-09,Nvidia Corp,NVDA,OPPENHEIMER,RICK SCHAFER,OUTPERFORM,OUTPERFORM,,6.25,3.56
2019-01-11,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,6.15,3.72
2019-01-25,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,6.15,4.0
2019-01-28,Nvidia Corp,NVDA,WELLS FARGO,AARON RAKERS,,OUTPERFORM                   ,,4.25,3.45
2019-01-28,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,,HOLD                         ,,3.37,3.45
2019-01-28,Nvidia Corp,NVDA,BENCHMARK,GARY MOBLEY,,                             ,,4.75,3.45
2019-01-28,Nvidia Corp,NVDA,OPPENHEIMER,RICK SCHAFER,,OUTPERFORM                   ,,,3.45
2019-01-28,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,HOLD                         ,,3.75,3.45
2019-01-29,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,NEGATIVE                     ,,4.62,3.29
2019-01-29,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,OVERWEIGHT                   ,5.5,3.7,3.29
2019-01-29,Nvidia Corp,NVDA,UBS,TIMOTHY ARCURI,NEUTRAL,BUY,4.5,4.75,3.29
2019-01-29,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,NEGATIVE                     ,,4.67,3.29
2019-01-29,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,NEUTRAL,NEGATIVE,,3.7,3.29
2019-01-29,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,,                             ,,5.0,3.29
2019-02-11,Nvidia Corp,NVDA,BERNSTEIN,STACY RASGON,OUTPERFORM,MARKET PERFORM,,4.25,3.66
2019-02-11,Nvidia Corp,NVDA,CITI,ATIF MALIK,,BUY                          ,,5.0,3.66
2019-02-13,Nvidia Corp,NVDA,SUSQUEHANNA,CHRISTOPHER ROLLAND,,                             ,,4.25,3.82
2019-02-15,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,4.62,3.93
2019-02-15,Nvidia Corp,NVDA,RAYMOND JAMES,CHRIS CASO,                             ,OUTPERFORM                   ,4.12,4.5,3.93
2019-02-15,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,,IN LINE                      ,,4.25,3.93
2019-02-15,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,5.0,4.87,3.93
2019-02-15,Nvidia Corp,NVDA,JPMORGAN,HARLAN SUR,                             ,OVERWEIGHT                   ,5.0,5.12,3.93
2019-02-15,Nvidia Corp,NVDA,UBS,TIMOTHY ARCURI,BUY,BUY,,4.5,3.93
2019-02-15,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,                             ,HOLD                         ,3.37,3.75,3.93
2019-03-12,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,SELL                         ,,3.7,4.06
2019-03-13,Nvidia Corp,NVDA,CITI,ATIF MALIK,,BUY                          ,,5.0,4.22
2019-03-14,Nvidia Corp,NVDA,CRAIG HALLUM,RICHARD SHANNON,,HOLD                         ,,4.12,4.14
2019-03-20,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,,BUY                          ,,4.87,4.36
2019-03-20,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,                             ,HOLD                         ,3.75,4.0,4.36
2019-03-20,Nvidia Corp,NVDA,WELLS FARGO,AARON RAKERS,                             ,                             ,4.75,5.0,4.36
2019-03-20,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,4.62,4.36
